date,title,source,keyword_type
2023-01-18,Outlook? Terrifying: TV weather presenters on the hell and horror of the climate crisis,The Guardian,Climate Crisis
2019-09-17," UK can’t fight climate crisis with austerity, warns expert",The Guardian,Climate Crisis
2021-11-02, The west caused the climate crisis – it should now pay to clean up the messLazarus Chakwera,The Guardian,Climate Crisis
2022-02-16," Prepare for mass migration to cities in climate crisis, UK mayors warn",The Guardian,Climate Crisis
2021-07-28, PM’s spokesperson for Cop26 suggests joining Greens to solve climate crisis,The Guardian,Climate Crisis
2022-11-17, Kicking our growth addiction is the way out of the climate crisis. This is how to do itLarry Elliott,The Guardian,Climate Crisis
2022-02-03, The climate crisis is wreaking havoc but sport can be a part of the solutionPat Cummins,The Guardian,Climate Crisis
2023-07-29, This article is more than 5 months oldThe cost of living crisis can only be beaten by tackling the climate crisisThis article is more than 5 months oldEd Miliband,The Guardian,Climate Crisis
2022-11-03, Climate crisis brings growing numbers of unusual jellyfish to UK seas,The Guardian,Climate Crisis
2018-10-26, 100 richest UK families urged to commit £1bn to tackle climate crisis,The Guardian,Climate Crisis
2023-12-07, We can’t solve the climate crisis with a broken democracyMark Hertsgaard,The Guardian,Climate Crisis
2023-01-16,InterviewExtreme swimmer Lewis Pugh: ‘The polar regions are the ground zero of the climate crisis’Tim Lewis,The Guardian,Climate Crisis
2022-03-16, Is battling back-to-back disasters distracting us from fighting the climate crisis?Jeff Sparrow,The Guardian,Climate Crisis
2023-09-12," This article is more than 4 months oldAlbanese government not doing enough on climate crisis, majority of Labor voters tell pollThis article is more than 4 months old",The Guardian,Climate Crisis
2023-08-03, This article is more than 5 months oldExpert panel calls for urgent rethink on Great Barrier Reef management amid ‘unremitting’ climate crisisThis article is more than 5 months old,The Guardian,Climate Crisis
2021-08-27,ReviewHow wine is adapting to the climate crisis,The Guardian,Climate Crisis
2023-08-28," This article is more than 4 months oldChildren’s voices must be heard on climate crisis, says UN rights bodyThis article is more than 4 months old",The Guardian,Climate Crisis
2022-10-29, The Guardian view on the climate crisis: no end in sightEditorial,The Guardian,Climate Crisis
2022-10-19," InterviewEnd trade barriers to help tackle climate crisis, says WTO chiefFiona Harvey",The Guardian,Climate Crisis
2023-08-21,‘It’s a zeitgeist-capturer’: climate crisis and trans rights are talk of Edinburgh festival,The Guardian,Climate Crisis
2023-10-21," This article is more than 2 months oldChildren at ‘existential risk’ from climate crisis, UK’s top paediatrician saysThis article is more than 2 months old",The Guardian,Climate Crisis
2021-08-19, Saving ozone layer has given humans a chance in climate crisis – study,The Guardian,Climate Crisis
2020-12-07,Cloud spraying and hurricane slaying: how ocean geoengineering became the frontier of the climate crisis,The Guardian,Climate Crisis
2023-05-09, This article is more than 8 months oldItalian oil firm Eni faces lawsuit alleging early knowledge of climate crisisThis article is more than 8 months old,The Guardian,Climate Crisis
2021-08-13, Billionaire space cowboys could become heroes by focusing on the climate crisis,The Guardian,Climate Crisis
2023-12-01," This article is more than 1 month oldGender equality goals under threat in climate crisis-hit countries, says UNThis article is more than 1 month old",The Guardian,Climate Crisis
," ‘Climate crisis is here’ says Biden in week of storms, floods and wildfires",The Guardian,Climate Crisis
2022-10-19, The climate crisis is destroying the human rights of those least responsible for itPatrick Verkooijen and AK Abdul Momen,The Guardian,Climate Crisis
2023-12-07," This article is more than 1 month oldCarbon pricing would raise trillions needed to tackle climate crisis, says IMFThis article is more than 1 month old",The Guardian,Climate Crisis
2021-11-09, Tuvalu minister to address Cop26 knee deep in water to highlight climate crisis and sea level rise,The Guardian,Climate Crisis
2023-09-23, Reasons for (cautious) optimism: the good news on the climate crisisAdam Morton,The Guardian,Climate Crisis
," Pakistan not to blame for climate crisis-fuelled flooding, says PM Shehbaz Sharif",The Guardian,Climate Crisis
2023-11-05, This article is more than 2 months old‘Loss and damage’ deal struck to help countries worst hit by climate crisisThis article is more than 2 months old,The Guardian,Climate Crisis
2023-04-20, This article is more than 8 months old‘They are despairing’: climate crisis weighs heavy on mental health of young AustraliansThis article is more than 8 months old,The Guardian,Climate Crisis
2022-10-03," To understand the scale of the climate emergency, look at hurricanesPeter Kalmus",The Guardian,Climate Crisis
2021-08-08,Weatherwatch: how the humble salp is helping to fight the climate crisis,The Guardian,Climate Crisis
2021-10-31, Cop26: Antarctic glacier named Glasgow as ‘stark reminder’ of climate crisis ,The Guardian,Climate Crisis
2019-12-04, Climate crisis to hit Europe’s coffee and chocolate supplies,The Guardian,Climate Crisis
2021-09-13,Walmart has a plan to tackle the climate crisis. Can it pull it off?,The Guardian,Climate Crisis
2019-04-25," Coalition government spent just 16 cents on climate crisis out of every $100, analysis finds",The Guardian,Climate Crisis
2023-08-28, This article is more than 4 months oldThe Hawaii fires are a dire omen of the climate crisis’s cost to Pacific peoplesThis article is more than 4 months oldKiana Davenport,The Guardian,Climate Crisis
2023-09-06,Can video games change people’s minds about the climate crisis?,The Guardian,Climate Crisis
2021-11-14," Where voters and consumers lead on the climate crisis, businesses will have to followWill Hutton",The Guardian,Climate Crisis
2023-06-19," This article is more than 6 months oldA wealth tax could help poorer countries tackle climate crisis, economists sayThis article is more than 6 months old",The Guardian,Climate Crisis
2023-12-07, The scientists hired by big oil who predicted the climate crisis long ago,The Guardian,Climate Crisis
2022-10-04,‘This is part of our world now’: can TV shows adequately reflect the climate crisis?,The Guardian,Climate Crisis
2023-06-23," This article is more than 6 months oldThe climate crisis is this century’s biggest threat. We need a global finance pact that reflects the task aheadThis article is more than 6 months oldChris Bowen, Steven Guilbeault and James Shaw",The Guardian,Climate Crisis
2022-11-03," The climate crisis threatens to rob us not just of our living, but also of our deadLagipoiva Cherelle Jackson",The Guardian,Climate Crisis
2022-11-26, Rich nations have promised to pay for the climate crisis – but will they?Gordon Brown,The Guardian,Climate Crisis
2023-12-12, This article is more than 1 month oldWTO chief urges countries to prioritise subsidies that tackle climate crisisThis article is more than 1 month old,The Guardian,Climate Crisis
2019-12-16," Mice, floods and the climate crisis: why your insurance won’t cover society-wide catastrophesRichard Denniss",The Guardian,Climate Crisis
, Cop27 president bemoans slow negotiations saying some countries failing to address urgency of climate crisis – as it happened,The Guardian,Climate Crisis
2021-11-26,Climate emergency accelerates F1’s efforts to clean up its image,The Guardian,Climate Crisis
2022-03-10," In a disaster zone on the frontline of the climate crisis, the PM resorts to self-serving pontificationKatharine Murphy",The Guardian,Climate Crisis
2022-01-13, Plants at risk of extinction as climate crisis disrupts animal migration,The Guardian,Climate Crisis
2018-12-07, More than 200 health journals call for urgent action on climate crisis,The Guardian,Climate Crisis
2023-04-05, This article is more than 9 months oldFormer ADF chief calls for release of secret report into security threat posed by climate crisisThis article is more than 9 months old,The Guardian,Climate Crisis
2018-09-23, UK students sue government over human rights impact of climate crisis,The Guardian,Climate Crisis
2021-09-28," ‘Blah, blah, blah’: Greta Thunberg lambasts leaders over climate crisis",The Guardian,Climate Crisis
2022-05-19,Suicides indicate wave of ‘doomerism’ over escalating climate crisis,The Guardian,Climate Crisis
," Sussan Ley does not have duty of care to protect young from climate crisis, appeal court rules ",The Guardian,Climate Crisis
2022-07-20, Mining giant Glencore’s Australian PR blitz forgets the coal driving the climate crisis Graham Readfearn,The Guardian,Climate Crisis
2023-12-07,‘Like a train that can’t be stopped’: how the climate crisis threatens clammers,The Guardian,Climate Crisis
2023-07-17,Interview‘Your heart races a bit’: US weather man threatened with death for mentioning climate crisisOliver Milman,The Guardian,Climate Crisis
2023-12-06,‘No normal seasons any more’: seed farmers struggle amid the climate crisis ,The Guardian,Climate Crisis
2022-05-09,Climate crisis: what lessons can we learn from the last great cooling-off period?,The Guardian,Climate Crisis
2022-09-30,How the climate crisis is driving stronger storms further inland,The Guardian,Climate Crisis
2023-07-25,"Deadly global heatwaves undeniably result of climate crisis, scientists show",The Guardian,Climate Crisis
2019-05-21,LettersWe should blame men for the climate crisis,The Guardian,Climate Crisis
2019-05-30," Roses out, olives in: the new English garden in a time of climate crisis",The Guardian,Climate Crisis
2023-10-10, This article is more than 3 months oldClimate crisis is ‘not gender neutral’: UN calls for more policy focus on womenThis article is more than 3 months old,The Guardian,Climate Crisis
, This article is more than 6 months old‘Double agents’: fossil-fuel lobbyists work for US groups trying to fight climate crisisThis article is more than 6 months old,The Guardian,Climate Crisis
2021-10-27,Meat and dairy giants feed climate crisis by dragging their heels on methane,The Guardian,Climate Crisis
2022-10-28, Climate crisis study finds heatwaves have cost global economy $16tn,The Guardian,Climate Crisis
2023-08-08," This article is more than 5 months oldSydney’s drinking water quality under threat from climate crisis, report findsThis article is more than 5 months old",The Guardian,Climate Crisis
2022-10-31,LettersLeaders’ apathy towards climate crisis is proving deadly,The Guardian,Climate Crisis
2021-11-15,The shipping industry faces a climate crisis reckoning – will it decarbonize?,The Guardian,Climate Crisis
2022-10-30," Thin fish, small catches: can Japan’s sushi culture survive climate crisis?",The Guardian,Climate Crisis
2022-10-19," Climate emergency is a legacy of colonialism, says Greenpeace UK",The Guardian,Climate Crisis
2022-09-23,‘The climate crisis is now’: haunting video spotlights California wildfires,The Guardian,Climate Crisis
2021-05-25, Joe Biden to reveal US emissions pledge in key climate crisis moment,The Guardian,Climate Crisis
2022-06-24," Energy treaty update fails to address climate crisis, activists say",The Guardian,Climate Crisis
2023-01-16, Time to branch out? Trees put lawns in the shade when it comes to tackling climate crisis,The Guardian,Climate Crisis
2023-06-29," This article is more than 6 months oldClimate crisis linked to rising domestic violence in south Asia, study findsThis article is more than 6 months old",The Guardian,Climate Crisis
2022-11-05,ExplainerThe climate crisis explained in 10 charts,The Guardian,Climate Crisis
2023-08-04, This article is more than 5 months oldKhan says climate crisis more important than party politics after Ulez victoryThis article is more than 5 months old,The Guardian,Climate Crisis
2018-09-23," Climate crisis: Siberian heatwave led to new methane emissions, study says",The Guardian,Climate Crisis
2022-04-07, What would following Australia’s ‘leadership’ on the climate crisis actually look like?Graham Readfearn,The Guardian,Climate Crisis
2022-04-11,LettersChildren must shape the global response to climate crisis,The Guardian,Climate Crisis
2023-01-18,AnalysisCarbon offsets are flawed but we are now in a climate emergencyFiona Harvey Environment editor,The Guardian,Climate Crisis
2018-10-17, Fears climate crisis could increase allergy season severity by up to 60%,The Guardian,Climate Crisis
2022-06-28,‘We wanted to offer a sense of hope’: architects build on the climate crisis,The Guardian,Climate Crisis
2022-10-31, Global anger at Sunak’s Cop27 snub that raises fears over UK’s climate crisis stance,The Guardian,Climate Crisis
, This article is more than 6 months oldMillions swelter under extreme heat as climate crisis tightens grip on US – as it happenedThis article is more than 6 months old,The Guardian,Climate Crisis
2020-09-19, The climate emergency is here. The media needs to act like it ,The Guardian,Climate Crisis
2023-04-25, This article is more than 9 months oldClimate emergency is the biggest health crisis of our time – bigger than CovidThis article is more than 9 months oldPascal Soriot,The Guardian,Climate Crisis
2023-04-04,LettersHelp young people lead action to tackle climate crisis,The Guardian,Climate Crisis
2022-05-19, Gas industry and Coalition reach for a get-out-of-catastrophe-free card in climate crisis MonopolyGraham Readfearn,The Guardian,Climate Crisis
2022-11-19, Time is running out. We must call out the vested interests propelling the climate crisisGabrielle Kuiper,The Guardian,Climate Crisis
2018-02-10, Targets like ‘net-zero’ won’t solve the climate crisis on their ownMathew Lawrence,The Guardian,Climate Crisis
2023-11-20," This article is more than 1 month oldTax corporate polluters and rich to help tackle climate crisis, Jeremy Hunt toldThis article is more than 1 month old",The Guardian,Climate Crisis
2021-11-05,‘Apocalypse soon’: reluctant Middle East forced to open eyes to climate crisis ,The Guardian,Climate Crisis
2021-05-10, Lake District in peril due to climate emergency and influx of pandemic walkers,The Guardian,Climate Crisis
2022-11-11,Is China doing enough to combat the climate crisis?,The Guardian,Climate Crisis
, This article is more than 1 month oldCop28: key funding deal to help poorer nations cope with impact of climate crisis agreed – as it happenedThis article is more than 1 month old,The Guardian,Climate Crisis
2022-10-19,‘It brings it home’: Archbishop of Canterbury highlights climate crisis in Australia with visit to Lismore,The Guardian,Climate Crisis
2022-02-11, The environmental activists bringing the climate crisis to the courtroomKieran Pender,The Guardian,Climate Crisis
2023-01-20, This article is more than 11 months oldExxon’s predictions about the climate crisis may have increased its legal perilThis article is more than 11 months old,The Guardian,Climate Crisis
2021-05-10,"Ashes to ashes: Pentecostalism, the PM and the climate crisis",The Guardian,Climate Crisis
2023-12-07,Five charts that show why our food is not ready for the climate crisis ,The Guardian,Climate Crisis
2023-10-12, This article is more than 3 months oldSport England tells its sports: funding will depend on fighting climate crisisThis article is more than 3 months old,The Guardian,Climate Crisis
2022-05-21, HSBC pressured to sack banker who discredited climate crisis warnings,The Guardian,Climate Crisis
2022-09-15, Patagonia’s billionaire owner gives away company to fight climate crisis,The Guardian,Climate Crisis
2018-11-20," Cop26: Humanity 5-1 down at half-time on climate crisis, says Johnson",The Guardian,Climate Crisis
2021-09-06,The race to give nuclear fusion a role in the climate emergency,The Guardian,Climate Crisis
2021-10-07,How the National Trust is tackling the climate crisis,The Guardian,Climate Crisis
2022-09-21,How the climate crisis is fueling the spread of a brain-eating amoeba,The Guardian,Climate Crisis
2019-06-16, Climate crisis inflicting huge ‘hidden costs’ on mental health,The Guardian,Climate Crisis
2021-11-25, Climate crisis pushes albatross ‘divorce’ rates higher – study,The Guardian,Climate Crisis
2023-06-23,Urban microclimates can turn deadly as climate crisis deepens,The Guardian,Climate Crisis
2023-09-12,AnalysisClimate crisis: Africa is talking but is the west listening?Peter Muiruri in Nairobi,The Guardian,Climate Crisis
2023-10-21,AnalysisImpact of farming on climate crisis will be a key Cop topic – finallyFiona Harvey Environment editor,The Guardian,Climate Crisis
2020-09-10,"Interview‘Nature is hurting’: Gojira, the metal band confronting the climate crisisMatt Mills",The Guardian,Climate Crisis
2019-12-09, UK councils still invest in fossil fuels despite declaring climate emergency,The Guardian,Climate Crisis
2021-10-02,Tell us: how has the climate crisis changed your home?,The Guardian,Climate Crisis
2018-02-28, Green light: a new series on the critical role of companies in the climate crisis,The Guardian,Climate Crisis
2023-08-03, This article is more than 5 months oldAt least 60 people apply to head UK government climate crisis advisory bodyThis article is more than 5 months old,The Guardian,Climate Crisis
2022-10-05, Hurricane Ian is no anomaly. The climate crisis is making storms more powerfulMichael E Mann and Susan Joy Hassol,The Guardian,Climate Crisis
2021-09-23, Climate crisis: fifth of London schools now susceptible to flooding,The Guardian,Climate Crisis
2023-07-05,Big tech vows to fight climate crisis but employs fossil fuel-linked lobbyists,The Guardian,Climate Crisis
2023-11-20," This article is more than 2 months oldAs a student, I’m striking for climate action. If you’re worried or angry about the climate crisis, join usThis article is more than 2 months oldJeremy Phu Howard",The Guardian,Climate Crisis
2023-05-15, This article is more than 8 months oldBiden is still not doing nearly enough about the climate crisisThis article is more than 8 months oldSteven Donziger,The Guardian,Climate Crisis
2019-06-18, Climate crisis: rich countries falling short on vow to help poorer ones ,The Guardian,Climate Crisis
2023-03-31,‘Terrified for my future’: climate crisis takes heavy toll on young people’s mental health ,The Guardian,Climate Crisis
2023-06-05," This article is more than 7 months oldCountries must put aside national interests for climate crisis, UN saysThis article is more than 7 months old",The Guardian,Climate Crisis
2022-12-07," Australia needs ‘wartime mobilisation’ response to climate crisis, security leaders say",The Guardian,Climate Crisis
2019-05-23," Climate crisis: recent European droughts 'worst in 2,000 years'",The Guardian,Climate Crisis
2023-04-03,‘Losing your home is a massive thing’: how the climate crisis came to Norfolk,The Guardian,Climate Crisis
2023-04-27, This article is more than 8 months oldHuman-driven climate crisis fuelling Horn of Africa drought – studyThis article is more than 8 months old,The Guardian,Climate Crisis
2023-07-25,LettersOur leaders failed us on the climate emergency,The Guardian,Climate Crisis
2021-10-21," Climate crisis likely to fuel conflicts over water and migration, US analyses say",The Guardian,Climate Crisis
, Biden tours flood-ravaged Kentucky as White House highlights climate crisis,The Guardian,Climate Crisis
2023-09-26, This article is more than 3 months oldHow do we raise trillions of dollars to fight the climate crisis? The answer is staring us in the faceThis article is more than 3 months oldGordon Brown,The Guardian,Climate Crisis
2022-09-01,‘We’re going to pay in a big way’: a shocking new book on the climate crisis,The Guardian,Climate Crisis
2022-07-05,‘Every year it gets worse’: on the frontline of the climate crisis in Bangladesh,The Guardian,Climate Crisis
," Guardian and Observer charity appeal passes £850,000 to fight climate emergency",The Guardian,Climate Crisis
2019-02-26," Automakers snub Trump to side with  climate crisis, says Obama-era official",The Guardian,Climate Crisis
2018-10-06, The IMF thinks carbon taxes will stop the climate crisis. That's a terrible ideaKate Aronoff,The Guardian,Climate Crisis
2020-07-24, Why the climate crisis is the most crucial story we cover in AmericaJohn Mulholland,The Guardian,Climate Crisis
2020-01-27, Celtic Connections to scale back on overseas acts to fight climate crisis,The Guardian,Climate Crisis
2020-09-25, The urgency of climate crisis needed robust new language to describe itPaul Chadwick,The Guardian,Climate Crisis
2019-12-15,What polar bears in a Russian apartment block reveal about the climate crisis,The Guardian,Climate Crisis
2020-09-18, Climate crisis may have pushed world's tropical coral reefs to tipping point of 'near-annual' bleaching,The Guardian,Climate Crisis
2021-01-11,Climate crisis: what would Guardian readers like to see in our coverage?,The Guardian,Climate Crisis
2019-07-26, I'm a scientist. Under Trump I lost my job for refusing to hide climate crisis factsMaria Caffrey,The Guardian,Climate Crisis
2020-09-07, Holiday heat headlines not focusing enough on climate crisis reality – experts,The Guardian,Climate Crisis
2018-10-18, Climate crisis may be disrupting the 'great orgy' of coral spawning,The Guardian,Climate Crisis
2021-08-11, Climate crisis pushing great white sharks into new waters,The Guardian,Climate Crisis
2019-07-29, BlackRock's Larry Fink must think again over tackling climate crisisNils Pratley,The Guardian,Climate Crisis
2018-10-10, New Zealand minister calls for finance sector to disclose climate crisis risks in world first,The Guardian,Climate Crisis
2021-06-26," Climate crisis seen as 'most important issue' by public, poll shows",The Guardian,Climate Crisis
2019-08-19, The climate crisis is hitting football – but the global game has time to take actionDavid Goldblatt,The Guardian,Climate Crisis
2020-03-12, Ocasio-Cortez tells world's mayors drastic action needed on climate crisis,The Guardian,Climate Crisis
2021-04-21, Leading investor group tells companies to set out climate crisis plans,The Guardian,Climate Crisis
2021-10-05,AnalysisHow Trump is emboldening other countries' 'bad behavior' on the climate crisisFiona Harvey environment correspondent,The Guardian,Climate Crisis
2020-08-08, TV weather presenters 'have moral obligation' to explain climate crisis,The Guardian,Climate Crisis
2018-08-20, Climate crisis: does journalism actually make a difference?Jonathan Watts Global environment editor,The Guardian,Climate Crisis
2019-05-03,"Climate crisis: business, farming and environment leaders unite to warn Australia 'woefully unprepared'",The Guardian,Climate Crisis
2019-08-21, Lapland town of Salla highlights climate crisis with 2032 Olympics campaign,The Guardian,Climate Crisis
2019-04-02, The climate crisis should be at the heart of the global Covid recoveryMaría Fernanda Espinosa,The Guardian,Climate Crisis
2019-08-12, Nuns take on BlackRock over climate emergency,The Guardian,Climate Crisis
2020-11-06, Major global investor drops US firms deemed climate crisis laggards,The Guardian,Climate Crisis
2021-08-26," Exxon sowed doubt about climate crisis, House Democrats hear in testimony",The Guardian,Climate Crisis
2020-02-03,Flights of fancy: 10 ways to imagine our way out of the climate crisis,The Guardian,Climate Crisis
2018-03-04,InterviewThe Greta Thunberg effect: are climate crisis documentaries feeling it?Maeve Allen,The Guardian,Climate Crisis
2020-05-28, Renewable energy: climate crisis 'may have triggered faster wind speeds',The Guardian,Climate Crisis
2018-04-16,Could Microsoft’s climate crisis ‘moonshot’ plan really work?,The Guardian,Climate Crisis
2021-04-01," Corbyn to tell MPs: Do your duty, and declare a UK climate emergency",The Guardian,Climate Crisis
2018-06-01,LettersWhere the blame lies for the climate crisis,The Guardian,Climate Crisis
2020-05-22,EU aims to stir global action with pledge on climate crisis,The Guardian,Climate Crisis
2018-12-30, Extinction Rebellion plans new London climate crisis shutdowns,The Guardian,Climate Crisis
2019-12-23,LettersBacking the trillion tree campaign to combat climate crisis,The Guardian,Climate Crisis
2019-10-21, The Guardian view on climate crisis: what can we do?Editorial,The Guardian,Climate Crisis
2021-04-24,Fight for Planet A: the team behind War on Waste want to put climate crisis back on the agenda,The Guardian,Climate Crisis
2018-04-06, Political polarisation over climate crisis has surged under Trump,The Guardian,Climate Crisis
2021-04-21," Shorter lifespan of faster-growing trees will add to climate crisis, study finds",The Guardian,Climate Crisis
2021-09-17, Young protesters at DNC headquarters demand debate on climate crisis,The Guardian,Climate Crisis
, UK to host crucial global talks on tackling climate emergency,The Guardian,Climate Crisis
2019-11-30, Climate crisis to triple flooding threat for low-income US homes by 2050,The Guardian,Climate Crisis
, MPs endorse Corbyn’s call to declare climate emergency,The Guardian,Climate Crisis
2021-05-30, Doctors call for nonviolent direct action over climate crisis,The Guardian,Climate Crisis
2021-10-05, Scotch on the rocks: distilleries fear climate crisis will endanger whisky production,The Guardian,Climate Crisis
2020-06-27, Tories urge leadership contenders to prioritise climate emergency,The Guardian,Climate Crisis
2018-01-06," France failing to tackle climate emergency, report says",The Guardian,Climate Crisis
2019-10-01,Red Sea corals' heat tolerance offers hope for climate crisis,The Guardian,Climate Crisis
2018-06-04, Ireland to unveil bold plan to tackle climate emergency,The Guardian,Climate Crisis
2020-08-09," Climate crisis fuels year of record temperatures in UK, says Met Office",The Guardian,Climate Crisis
2020-01-05,Lib Dems set out radical agenda for tackling climate emergency,The Guardian,Climate Crisis
, Johnson sets out his climate crisis vision as Cameron turns down talks role,The Guardian,Climate Crisis
2021-05-25, The national curriculum barely mentions the climate crisis. Children deserve betterFiona Harvey,The Guardian,Climate Crisis
2020-10-24,The hellish future of Las Vegas in the climate crisis: 'A place where we never go outside',The Guardian,Climate Crisis
2018-07-22, Global food producers 'failing to face up to role' in climate crisis,The Guardian,Climate Crisis
2020-01-05," With every flood, public anger over the climate crisis is surgingGaby Hinsliff",The Guardian,Climate Crisis
2020-01-04, Wildfires show us how the climate emergency is already affecting EuropeImogen West-Knights,The Guardian,Climate Crisis
2018-01-23,LettersHot on the trail of cold fusion as a solution to the climate crisis,The Guardian,Climate Crisis
2018-01-19,Global climate emergency: Which issues should we focus on next?,The Guardian,Climate Crisis
2020-09-23, Labour manifesto promises 1m green jobs to tackle climate crisis,The Guardian,Climate Crisis
2019-09-12,Schoolchildren go on strike across world over climate crisis,The Guardian,Climate Crisis
2019-02-07, UK citizens’ assembly on climate emergency announced,The Guardian,Climate Crisis
2019-02-04,How the climate crisis will affect you – interactive map,The Guardian,Climate Crisis
2018-08-27," Science on climate crisis is undeniable, Prince Harry says",The Guardian,Climate Crisis
2021-08-26,'People should be terrified': one teen's hunger strike over the climate crisis,The Guardian,Climate Crisis
2019-09-10," No need to cut beef to tackle climate crisis, say farmers",The Guardian,Climate Crisis
2021-06-05, Covid-19 lockdown will have 'negligible' impact on climate crisis – study,The Guardian,Climate Crisis
2018-06-18, Governments and firms in 28 countries sued over climate crisis – report,The Guardian,Climate Crisis
2020-11-29,‘Hypocrites and greenwash’: Greta Thunberg blasts leaders over climate crisis,The Guardian,Climate Crisis
2020-08-31, Boris Johnson set to snub election leaders' debate on climate crisis,The Guardian,Climate Crisis
2020-10-16,How do you write a play about the climate crisis?,The Guardian,Climate Crisis
2021-07-24, Irish parliament declares climate emergency,The Guardian,Climate Crisis
2021-04-03, 'Our house is on fire': EU parliament declares climate emergency,The Guardian,Climate Crisis
2018-01-10,"Climate crisis may be increasing jet stream turbulence, study finds",The Guardian,Climate Crisis
2022-10-19," Reach ‘peak meat’ by 2030 to tackle climate crisis, say scientists",The Guardian,Climate Crisis
2022-10-19,'The idea is that art can help': how Art Basel Miami tackled the climate crisis,The Guardian,Climate Crisis
2018-08-25, Climate crisis: what you can do while government does nothingNicky Ison,The Guardian,Climate Crisis
2021-10-23, Climate crisis affects how majority will vote in UK election – poll,The Guardian,Climate Crisis
2021-08-26,Slimy lakes and dead dogs: climate crisis has brought the season of toxic algae,The Guardian,Climate Crisis
2019-02-05," I lived the climate crisis every day of my childhood. This November, I'll vote on itJessica Díaz Vázquez",The Guardian,Climate Crisis
2019-10-04,LettersThe trouble with trees as a climate crisis solution,The Guardian,Climate Crisis
2018-08-24, If you can’t stand the heat … stop being a climate emergency denierNell Frizzell,The Guardian,Climate Crisis
2020-03-06, The Guardian view on the Australian election: vote on the climate emergencyEditorial,The Guardian,Climate Crisis
2019-09-07,City of Sydney councillors to vote on declaring climate crisis a national emergency,The Guardian,Climate Crisis
2018-03-15, Climate crisis: Australian businesses back net zero carbon emissions by 2050,The Guardian,Climate Crisis
2020-11-01, Ed Miliband calls for 'wartime' mobilisation to tackle climate crisis,The Guardian,Climate Crisis
2020-10-23, Fighting the climate crisis need not mean halting economic growthJoseph Stiglitz,The Guardian,Climate Crisis
2021-02-05,Last decade was Earth's hottest on record as climate crisis accelerates,The Guardian,Climate Crisis
2019-01-31, Greta Thunberg leaves US with simple climate crisis message: vote,The Guardian,Climate Crisis
2020-08-07," Reshape economy to fight climate crisis, says Prince Charles",The Guardian,Climate Crisis
2020-03-24,Ma Jun: China has started to 'walk the walk' on climate crisis,The Guardian,Climate Crisis
2023-07-21, The Morrison government subsidising dirty fuel amid the climate crisis beggars beliefBill Hare,The Guardian,Climate Crisis
2018-01-01, Labour can win in 2024 with my plan to tackle the climate emergencyRebecca Long-Bailey,The Guardian,Climate Crisis
2018-11-23," Animals failing to adapt to speed of climate crisis, study finds",The Guardian,Climate Crisis
2019-02-27, Parliament must declare a climate emergency – not ignore itCaroline Lucas,The Guardian,Climate Crisis
2019-12-04, Britain must nurture its scientific expertise to help save the world from climate crisisMartin Rees,The Guardian,Climate Crisis
2021-10-05, EU urged to adopt meat tax to tackle climate emergency,The Guardian,Climate Crisis
2018-02-06,"The town fighting the climate crisis to stay afloat, one hurricane at at time",The Guardian,Climate Crisis
2021-04-30," Climate crisis reducing land’s ability to sustain humanity, says IPCC",The Guardian,Climate Crisis
, Democratic National Committee rejects mounting calls for climate crisis debate,The Guardian,Climate Crisis
2021-08-26,'Like a sunburn on your lungs': how does the climate crisis impact health?,The Guardian,Climate Crisis
2021-09-05,AnalysisHumanity has eight years to get climate crisis under control – and Trump's plan won't fix itEmily Holden in Washington,The Guardian,Climate Crisis
2018-11-01," Make climate crisis top editorial priority, XR campaign urges BBC",The Guardian,Climate Crisis
2021-08-26, Don’t despair about the climate emergency. Coal is not the futureFrank Jotzo,The Guardian,Climate Crisis
2020-05-23,Morrison's smoke and mirrors can't hide cricket's place in climate crisis,The Guardian,Climate Crisis
2018-05-26, Budget: missed chance to lead on climate crisis,The Guardian,Climate Crisis
2021-09-04, Thousands of Britons invited to climate crisis citizens' assembly,The Guardian,Climate Crisis
2020-10-22," Climate crisis may be a factor in tufted puffins die-off, study says",The Guardian,Climate Crisis
2018-10-09,World’s biggest investor accused of dragging feet on climate crisis,The Guardian,Climate Crisis
2021-04-29,Climate crisis: can councils deliver on bold promises to cut emissions?,The Guardian,Climate Crisis
2019-06-02," One climate crisis disaster happening every week, UN warns",The Guardian,Climate Crisis
2019-08-29, A youth activist on the climate crisis: politicians won't save usVictoria Barrett,The Guardian,Climate Crisis
2021-09-06," Climate crisis is greatest ever threat to human rights, UN warns",The Guardian,Climate Crisis
2021-03-07," Negative-emissions tech helps, but it's no magic bullet for the climate crisisTamsin Edwards",The Guardian,Climate Crisis
2020-05-10, Europe’s cities are leading the fight against xenophobia and the climate crisisAda Colau,The Guardian,Climate Crisis
2018-10-31,Labour pledges to put climate emergency on school curriculum,The Guardian,Climate Crisis
2021-04-22, Mike Pence repeatedly refuses to say climate crisis is a threat to US,The Guardian,Climate Crisis
2018-04-11,Are you a first-time voter worried by the climate crisis? We’re looking for guest editors,The Guardian,Climate Crisis
2018-01-29,LettersBuilding solutions to the climate crisis,The Guardian,Climate Crisis
," Energy bills will have to rise sharply to avoid climate crisis, says IMF",The Guardian,Climate Crisis
2021-06-06, World 'gravely' unprepared for effects of climate crisis – report,The Guardian,Climate Crisis
2021-09-29,The tipping points at the heart of the climate crisis,The Guardian,Climate Crisis
